CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
01003300,1224.31,1942/9/14,NGVD 29
01003300,1224.31,1942/9/15,NGVD 29
01003300,1224.32,1942/9/16,NGVD 29
01003300,1224.33,1942/9/17,NGVD 29
01003300,1224.33,1942/9/18,NGVD 29
01003300,1224.33,1942/9/19,NGVD 29
01003300,1224.31,1942/9/30,NGVD 29
01003300,1224.29,1942/10/8,NGVD 29
01003300,1224.29,1942/10/9,NGVD 29
01003300,1224.29,1942/10/10,NGVD 29
01003300,1224.29,1942/10/11,NGVD 29
01003300,1224.29,1942/10/12,NGVD 29
01003300,1224.29,1942/10/13,NGVD 29
01003300,1224.29,1942/10/14,NGVD 29
01003300,1224.29,1942/10/15,NGVD 29
01003300,1224.29,1942/10/16,NGVD 29
01003300,1224.29,1942/10/17,NGVD 29
01003300,1224.29,1942/10/18,NGVD 29
01003300,1224.29,1942/10/19,NGVD 29
01003300,1224.29,1942/10/20,NGVD 29
01003300,1224.29,1942/10/21,NGVD 29
01003300,1224.29,1942/10/22,NGVD 29
01003300,1224.29,1942/10/23,NGVD 29
01003300,1224.29,1942/10/24,NGVD 29
01003300,1224.29,1942/10/25,NGVD 29
01003300,1224.29,1942/10/26,NGVD 29
01003300,1224.29,1942/10/27,NGVD 29
01003300,1224.29,1942/10/28,NGVD 29
01003300,1224.29,1942/10/29,NGVD 29
01003300,1224.29,1942/10/30,NGVD 29
01003300,1224.29,1942/10/31,NGVD 29
01003300,1224.29,1942/11/1,NGVD 29
01003300,1224.29,1942/11/2,NGVD 29
01003300,1224.29,1942/11/3,NGVD 29
01003300,1224.29,1942/11/4,NGVD 29
01003300,1224.29,1942/11/5,NGVD 29
01003300,1224.29,1942/11/6,NGVD 29
01003300,1224.29,1942/11/7,NGVD 29
01003300,1224.29,1942/11/8,NGVD 29
01003300,1224.29,1942/11/9,NGVD 29
01003300,1224.29,1942/11/10,NGVD 29
01003300,1224.29,1942/11/11,NGVD 29
01003300,1224.29,1942/11/12,NGVD 29
01003300,1224.29,1942/11/13,NGVD 29
01003300,1224.29,1942/11/14,NGVD 29
01003300,1224.29,1942/11/15,NGVD 29
01003300,1224.29,1942/11/16,NGVD 29
01003300,1224.29,1942/11/17,NGVD 29
01003300,1224.29,1942/11/18,NGVD 29
01003300,1224.29,1942/11/19,NGVD 29
01003300,1224.29,1942/11/20,NGVD 29
